IL20-IL10RB	0.14336838	0.24694124	0.1354214	0.12879562	0.20744759	0.12324126	0.1017561	0.21687132	0.42983162	0.17944089	0.17072088	0.3544904	0.14798197	0.10848353	0.12520355	0.13611981	0.115819834	0.121858776	0.11923662	0.11142059	0.09269082	0.13309884	0.20426342	0.12611762	0.12638748	0.17590943	0.11873684	0.10525394	0.45684162	0.99659705	0.3698193	0.3553981	0.8024969	0.33506453	0.2158567	0.12320939	0.14732647	0.109265625	0.11918227	0.12931412	0.110023595	0.094949745	0.13119696	0.21537928	0.11408911	0.118260935	0.18407318	0.1083014	0.08464179	
PRL-IL13RA1	0.0614032	0.23318097	0.042108484	0.04352753	0.31842417	0.03830395	0.015266463	0.022327363	0.042583942	0.008031771	0.017701522	0.047529705	0.008912429	-0.0	0.19983423	0.751812	0.1166405	0.12591295	0.9938214	0.11552242	0.048043482	0.20030244	0.7020129	0.13202202	0.12561569	0.94841635	0.11634108	0.056294426	0.051183544	0.09015282	0.024713606	0.036340423	0.111573875	0.027343936	0.001998797	0.08906651	0.37682968	0.07835502	0.06375877	0.5221298	0.061952516	0.02435682	0.065340094	0.22138919	0.032211967	0.04525449	0.28306466	0.03290277	0.0010245442	
ANGPT2-FGFR1	0.08227849	0.4402267	0.033058174	0.059965767	0.30076343	0.05859805	0.016802013	0.0070454776	0.051220484	-0.0	0.007496029	0.03276225	0.0049105734	-0.0	0.09481447	0.51116264	0.036144324	0.069020055	0.33901286	0.060645267	0.016473144	0.20186433	0.99378085	0.08068499	0.14444074	0.67666256	0.13183086	0.049692832	0.02945844	0.15450606	0.009035751	0.021811843	0.10195177	0.01787953	0.003530413	0.06726884	0.35781914	0.020186752	0.050559968	0.23879474	0.050955452	0.01181832	0.039671928	0.21217522	0.0124681	0.028519422	0.14177953	0.023906954	0.0072086453	
SOST-LRP5	0.5668448	0.27900305	0.25330162	0.9730997	0.099184856	0.21469826	0.20484538	0.07642933	0.05176802	0.022199675	0.1263774	0.038348258	0.017657608	0.013011798	0.16777422	0.07137088	0.05826439	0.3434414	0.039273217	0.059050232	0.062209107	0.18562916	0.068050906	0.08952967	0.31990683	0.045277372	0.0875408	0.051206827	0.13111077	0.05786345	0.040348202	0.27294886	0.034788318	0.041086122	0.013171792	0.17365994	0.05738911	0.100976855	0.3509478	0.04094845	0.07347623	0.07437171	0.5584487	0.22394672	0.24818537	0.9903145	0.103791595	0.20152709	0.17374334	
PGF-NGFR	0.11154997	0.31006545	0.041294217	0.076148525	0.4120704	0.047851786	0.027896643	0.04550215	0.14472032	0.013564721	0.031868793	0.17188068	0.0128374845	0.008123919	0.050088853	0.1409913	0.0167934	0.037569545	0.17869774	0.024639592	0.008410811	0.103606105	0.30254042	0.039785527	0.07087262	0.35980302	0.04798331	0.027464472	0.2835073	0.7811638	0.09062396	0.20007005	0.99458027	0.11960887	0.05557785	0.04629127	0.13451332	0.017080516	0.032648623	0.16464782	0.013438642	0.010173231	0.24328166	0.6856847	0.09409252	0.17357647	0.90825105	0.11175995	0.05289703	
GH1-IL10RB	0.20746875	0.46823063	0.19928351	0.16377254	0.3850082	0.16336186	0.12796418	0.11366865	0.15332511	0.10169017	0.11032655	0.13640907	0.09902497	0.090422854	0.15822434	0.3305961	0.15562993	0.15011516	0.25695616	0.13193649	0.1143884	0.4730799	0.9957925	0.44850582	0.35305244	0.8151306	0.35957253	0.29744917	0.13724898	0.24804369	0.13967355	0.13265955	0.20630933	0.1304309	0.09595297	0.22270685	0.47164574	0.23155779	0.18392313	0.38181153	0.18157013	0.15745422	0.13559125	0.2288519	0.13347688	0.12762204	0.20782447	0.11972803	0.09149411	
FGF22-MET	0.12051759	0.33841535	0.04783698	0.06234505	0.4475419	0.057237796	0.012219876	0.023269415	0.0706746	0.005861506	0.015882954	0.08707952	0.00689131	-0.0	0.27292025	0.7388263	0.09958888	0.13942684	0.9932157	0.121456735	0.044191435	0.16895008	0.40030164	0.06409285	0.08666263	0.58444417	0.06851608	0.029336967	0.09825717	0.2613595	0.032025874	0.056729592	0.344886	0.042418875	0.00048981607	0.099530764	0.26192594	0.033467412	0.056278244	0.3563987	0.039608844	0.014793009	0.101766266	0.2707106	0.035416983	0.055961914	0.3750971	0.041088596	-0.0	
CCL8-CCR10	0.043557867	0.041204967	0.030529998	0.019763976	0.042350553	0.03795857	0.0128377825	0.9944329	0.99808395	0.6037084	0.65501595	0.9169152	0.6949028	0.31119835	0.1531349	0.14374232	0.07868225	0.098105796	0.13645451	0.11475338	0.060354494	0.38059253	0.33148855	0.2999699	0.24283849	0.31959146	0.2908274	0.17892468	0.33962804	0.30610156	0.18600449	0.22479525	0.29197	0.2534526	0.11979714	0.34627783	0.31419748	0.25466144	0.2291595	0.3035611	0.2676913	0.143977	0.09031274	0.086093895	0.04651811	0.060739353	0.081402265	0.07038556	0.037111938	
PDGFD-KIT	0.05108568	0.26835608	0.028817505	0.049252436	0.1860266	0.022827074	0.010905668	0.005899057	0.03273	9.979308e-05	0.0031919926	0.02064012	0.0020124614	0.00019966066	0.13800554	0.7355839	0.06548998	0.08288251	0.49602792	0.05616045	0.026730582	0.014534935	0.07961759	-0.0	0.011365145	0.05387166	0.00737001	0.0031226575	0.0060101748	0.035437003	-0.0	0.0088445395	0.02453728	0.0021506846	0.0010631531	0.03635846	0.21845901	0.016522095	0.020565763	0.14254497	0.014140159	0.008569792	0.18448892	0.9936539	0.066253304	0.10557906	0.67313516	0.078141525	0.037178755	
PDGFB-IL15RA	0.20687553	0.12911767	0.12552631	0.11869022	0.12022926	0.12046688	0.03275861	0.7313967	0.524868	0.37036473	0.4593267	0.46300182	0.3834691	0.10829349	0.20648035	0.13187443	0.11118157	0.11942328	0.11856018	0.10589577	0.02629117	0.39125216	0.23690517	0.25431627	0.23134352	0.21952595	0.21587016	0.08601878	0.997445	0.64259386	0.558949	0.63310456	0.5901654	0.56333494	0.18074569	0.10670676	0.055166416	0.05974763	0.05733806	0.051075168	0.04964423	0.0013387501	0.13571364	0.0836716	0.07617645	0.07555479	0.07509548	0.06609911	0.0079728365	
